Nr.,Categorie,Produs,Producător,Țară,Preț (MDL)
2073,Sănătate - Medicamente OTC,Indometacina comp.film.  25mg N30 Sopharma,Sopharma AD,Bulgaria,"14,83"
2074,Sănătate - Medicamente OTC,Indometacina comp.film.  25mg N30 Sopharma,Sopharma AD,Bulgaria,"14,84"
2075,Mamă și Copil,Infant Uno Larinsept spray bucof. 30ml LPH,"LaborMed Pharma SA, SC",Romania,"202,09"
2076,Mamă și Copil,Infant Uno Larinsept spray bucof. 30ml LPH,"LaborMed Pharma SA, SC",Romania,197
2077,Sănătate - Echipamente Medicale,"Inhalator manual Rossmax cu supapa si camera aer,marimea S,(0-1.5ani)",Rossmax International LTD,Elvetia,"298,74"
2078,Vitamine și Minerale,Insty cu aroma de lamaie gran./sol. orala N5,Herbion Pakistan Pvt.Ltd,Pakistan,"35,46"
2079,Sănătate - Medicamente OTC,Ipigrix®sol. inj.5 mg/ml 1 ml N5x2,"Grindeks SA (prod.: Hoechst-Biotika spol. s.r.o., Slovacia; Sanitas SA, Letonia)",Letonia,"172,19"
2080,Vitamine și Minerale,IREX Electrofumigator universal protectie contra insectelor+ lichid 30 nopti 20ml,TOB Сабрiз,Ucraina,"109,52"
2081,Sănătate - Medicamente OTC,Isla-Mint® comp. 100mg N10x3,"Naturpharm PJSC (prod.: Engelhard Arzneimittel GmbH&Co.KG, Germania)",Ucraina,"63,56"
2082,Sănătate - Medicamente OTC,Isla-Moos comp. 80mg N30,Engelhard Arzneimittel GmbH&Co.KG,Germania,"63,03"
2083,Sănătate - Medicamente OTC,Isla-Moos comp. 80mg N30,Engelhard Arzneimittel GmbH&Co.KG,Germania,"62,33"
2084,Sănătate - Medicamente OTC,Jaclor tab.N250,Romdezimed Production SRL,Romania,"300,21"
2085,Sănătate - Medicamente OTC,Jocet® sirop 200 ml,Unique Pharmaceutical Laboratories,India,"77,93"
2086,Sănătate - Medicamente OTC,KagOcel® comp.12 mg N10,NEARMEDIC PLUS  SRL,Rusia,"70,76"
2087,Sănătate - Parafarmaceutice,Kapsikam ung. 30g,"Grindeks SA (prod.: Uzina farmaceutica din Tallin SA, Estonia)",Letonia,"82,08"
2088,Sănătate - Parafarmaceutice,Kapsikam ung. 50g,"Grindeks SA (prod.: Uzina farmaceutica din Tallin SA, Estonia)",Estonia,"96,67"
2089,Sănătate - Parafarmaceutice,Ketonal gel 2.5% 50g,Lek Pharmaceuticals d.d.,Slovenia,"58,84"
2090,Sănătate - Medicamente OTC,Klamoks comp. 625mg N15,Bilim Pharmaceuticals AS,Turcia,"70,85"
2091,Sănătate - Medicamente OTC,Klamoks® BID 1000mg comp.film.875mg+125mg N5x2,Bilim Pharmaceuticals AS,Turcia,"58,15"
2092,Sănătate - Medicamente OTC,"Klamoks® BID pulb./susp. orala 200mg + 28,5mg/5ml 70ml N1",Bilim Pharmaceuticals AS,Turcia,"34,27"
2093,Sănătate - Medicamente OTC,"Klimadynon® comp. film. 2,8 mg N15x4","Bionorica SE (prod.: Bionorica SE, Germania; Dragenopharm Apotheker Puschl GmbH&Co.KG, Germania; Rot",Germania,"128,94"
2094,Sănătate - Medicamente OTC,L-Cet® comp. film. 5mg N10x3,Kusum Healthcare Pvt.Ltd,India,"65,69"
2095,Sănătate - Medicamente OTC,L-Thyroxin comp. 25mcg N25x4,Berlin-Chemie AG (Menarini Group),Germania,"44,12"
2096,Vitamine și Minerale,Lacidofil-WM caps. N20 (Microorganisme antidiareice),"World Medicine (prod.: Institut Rosell Inc., Canada)",Canada,"108,57"
2097,Sănătate - Parafarmaceutice,Lagosa® draj. 150 mg N25x2,"Worwag Pharma GmbH&Co.KG (prod.: Mauermann-Arzneimittel Franz Mauermann OHG, Germania)",Germania,"134,99"
2098,Sănătate - Medicamente OTC,Lamivit caps. 300mg N60 Vitapharm ,"Vitapharm-Com SRL, IM",Republica Moldova,183
2099,Sănătate - Medicamente OTC,Langena caps. N30,Adifarm LTD,Turcia,"295,47"
2100,Mamă și Copil,Laringosept Baby spray 25ml Depofarm ,Depofarm SRL,Republica Moldova,"67,65"
2101,Sănătate - Medicamente OTC,Laxoflash caps. N30 Plameca,Plantas Medicinales y Complementos Alimenticios S.A.,Spania,"170,49"
2102,Sănătate - Medicamente OTC,Laxsennum-Lubnypharm comp. 70mg N10,Lubnypharm SAD,Ucraina,"5,89"
2103,Vitamine și Minerale,Le Petit Olivier Balsam buze nutritiv cu ulei Olive 4gr,LA PHOCEENNE DE COSMETIQUE,Franta,"64,25"
2104,Vitamine și Minerale,LECTUS B12 1000μg fara coloranti si zahar Spray (4ani+) 10ml Tab Ilac,TAB ILAC SANAYI AS,Turcia,"148,99"
2105,Sănătate - Medicamente OTC,LEDA GLUCOZAMINA 750mg+Chondrotina 600mg+MSM 350mg comp. N90,Ledapharma Ilac San ve. Tic LTD.STI,Turcia,299
2106,Sănătate - Medicamente OTC,Leodex sol. inj. 50mg/2ml 2ml N6,Bilim Pharmaceuticals AS,Turcia,"66,14"
2107,Sănătate - Medicamente OTC,Lercanidipino STADA	comp. film.10mg N14x2,Stada Arzneimittel AG,Spania,"72,81"
2108,Sănătate - Medicamente OTC,Lercanidipino STADA	comp. film.10mg N14x2,Stada Arzneimittel AG,Spania,"72,8"
2109,Sănătate - Medicamente OTC,Lerkamen comp. film. 20 mg N14x2,"Menarini International Operations Luxembourg SA (prod.: Berlin-Chemie AG, Germania)",Luxemburg,"138,46"
2110,Vitamine și Minerale,Lesfal Forte caps. 750mg N10x3,Softgel HealthCare India,India,"268,72"
2111,Sănătate - Medicamente OTC,Levoximed comp.film. 500mg N7,"World Medicine (prod.: Laboratoire Bailly-Creat, Franta)",Marea Britanie,"127,52"
2112,Sănătate - Medicamente OTC,Lidocaina sol.inj. 2% 2ml N10 (Borisov),UPM din Borisov RUP,Belarus,"15,53"
2113,Sănătate - Medicamente OTC,Lidocaina sol.inj. 2% 2ml N10 (Borisov),UPM din Borisov RUP,Belarus,"15,54"
2114,Sănătate - Parafarmaceutice,Lidocaina spray 10% 38g (Egis),Egis Pharmaceuticals PLC,Ungaria,"114,35"
2115,Sănătate - Parafarmaceutice,Lidocaina spray 10% 38g (Egis),Egis Pharmaceuticals PLC,Ungaria,"116,43"
2116,Vitamine și Minerale,Lindynette comp. 20mg N21x3 (Gedeon),Gedeon Richter PLC,Ungaria,"221,67"
2117,Vitamine și Minerale,Lindynette comp. 20mg N21x3 (Gedeon),Gedeon Richter PLC,Ungaria,"226,75"
2118,Vitamine și Minerale,Liniment balzamic Wishnevsky 40g (FP),FarmaPrim SRL,Republica Moldova,"44,97"
2119,Vitamine și Minerale,"Liposterol Forte (colesterol control,cardio) comp. N30 3Chenes",Les 3Chenes,Franta,300
2120,Vitamine și Minerale,Lithoren pulbere N30,Rafarm SA,Grecia,"373,67"
2121,Sănătate - Medicamente OTC,LIV-52 comp. N100,The Himalaya Drug Company,India,"108,26"
2122,Sănătate - Parafarmaceutice,Livarol sup. vag. 400 mg N5 (Nijfarm) (antimicotic),Nijfarm SAD,Rusia,"64,97"
2123,Sănătate - Medicamente OTC,Lomexin® caps. moi vag. 1000 mg N2,"Recordati Ireland Ltd (prod.: Recordati Industria Chimica e Farmaceutica S.p.a., Italia)",Italia,"193,56"
2124,Sănătate - Medicamente OTC,Loperamid LPH 2mg caps. N10,"LaborMed Pharma SA, SC",Romania,"16,47"
2125,Sănătate - Parafarmaceutice,Loroben spray. 30ml,Drogsan Ilaclari Sanayi ve Ticaret A.S.,Turcia,"78,95"
2126,Sănătate - Parafarmaceutice,Loroben® sol./garg. 200 ml,Drogsan Ilaclari Sanayi ve Ticaret A.S.,Turcia,"55,82"
2127,Sănătate - Parafarmaceutice,Loromer nazal spray (nas infundat) 3 ani+10ml Human Care,Farmaflor Group,Italia,129
2128,Vitamine și Minerale,"LOROMER Vegan (nas infundat,git inflamat,tuse,imunitate)3ani+sirop 125ml Eric Favre",ERIC FAVRE WELLNESS,Franta,"138,99"
2129,Sănătate - Medicamente OTC,Losiram comp.film.10mg N14x2,Bilim Pharmaceuticals AS,Turcia,"85,13"
2130,Vitamine și Minerale,Lotiune maini 100 ml (MC) ,MC Pharmaceuticals SRL,Republica Moldova,"14,28"
2131,Vitamine și Minerale,"Lotiune parfumata ""Troinoi""  110ml",Viorica-Cosmetic,Republica Moldova,"19,53"
2132,Vitamine și Minerale,"Lotiune parfumata ""Troinoi""  110ml",Viorica-Cosmetic,Republica Moldova,"19,52"
2133,Vitamine și Minerale,"Lotiune parfumata ""Troinoi"" cu lamiie 180ml",Viorica-Cosmetic,Republica Moldova,"26,81"
2134,Vitamine și Minerale,Lovea Balsam buze hidratant ulei cocos 4g,LA PHOCEENNE DE COSMETIQUE,Franta,"53,75"
2135,Sănătate - Medicamente OTC,Lucetam comp.film. 1200mg N20 (piracetam) (Egis),Egis Pharmaceuticals PLC,Ungaria,"55,07"
2136,Vitamine și Minerale,Lugol spray bucofaringian solutie 1% 50 g N1 TVA 20% Depofarm,Depofarm SRL,Republica Moldova,"48,69"
2137,Vitamine și Minerale,"Lululun Masca fata zi Over 45 Moist Camellia Pink,Regenereaza N7+Masca Yamanashi Nagano Piersic,Fermitate N7 CADOU",Dr. Lululun Inc.,Japonia,169
2138,Vitamine și Minerale,"Lululun Masca fata zi Precious Balance Green Anti-Age,ten Uniform N7+Masca Okinawa Acerola,Anti-age N7 CADOU",Dr. Lululun Inc.,Japonia,"168,99"
2139,Sănătate - Medicamente OTC,Lycored caps. N10x2,Bion Corporation,Anglia,"218,74"
2140,Vitamine și Minerale,"Lysobact DUO® comp. de supt 20 mg +1,5 mg  N10x2","Bosnalijek, Pharmaceutical and Chemical Industry JSC",Bosnia si Hertegovina,"68,84"
2141,Sănătate - Parafarmaceutice,Lysobact Rino spray nasal 30ml,"Bosnalijek, Pharmaceutical and Chemical Industry JSC",Bosnia si Hertegovina,"129,81"
2142,Sănătate - Medicamente OTC,Lysobact® comp. 20 mg+10 mg N10x3,Bosnalijek d.d.,Bosnia si Hertegovina,"73,76"
2143,Sănătate - Medicamente OTC,Lysobact® comp. 20 mg+10 mg N10x3,Bosnalijek d.d.,Bosnia si Hertegovina,"71,29"
2144,Sănătate - Parafarmaceutice,Lysoformin 3000 1L,Lysoform,Germania,"304,4"
2145,Mamă și Copil,Macro-re Baby microclizma 6g N4,Velit Biopharma SRL,Italia,97
2146,Mamă și Copil,Magne B6 sol.orala 10ml N10,"Sanofi-Aventis OTC (prod.: Cooperation Pharmaceutique Francaise, Franta)",Franta,"84,79"
2147,Mamă și Copil,Magne B6 sol.orala 10ml N10,"Sanofi-Aventis OTC (prod.: Cooperation Pharmaceutique Francaise, Franta)",Franta,"89,6"
2148,Vitamine și Minerale,Magnicum comp. filmate N50 KVZ,Uzina de vitamine din Kiev SAD,Ucraina,"117,26"
2149,Sănătate - Parafarmaceutice,Manseta Rossmax Universala-Cuff (24-40 cm),Rossmax International LTD,Elvetia,330
2150,Vitamine și Minerale,Manusi nesterile latex DR. PROTEC cu talc Large Bericah,Bericah SPA,Italia,"0,87"
2151,Vitamine și Minerale,Manusi nesterile nitril Protection fara talc Medium Med'S,Farmac Zabban SPA,Italia,"1,5"
2152,Vitamine și Minerale,Manusi nesterile nitril SMILEX fara talc rezistente M/L negre N10 Bericah,Bericah SPA,Italia,"24,99"
2153,Vitamine și Minerale,Manusi nesterile nitril SMILEX fara talc rezistente S/M albastre N10 Bericah,Bericah SPA,Italia,24
2154,Vitamine și Minerale,Manusi nesterile vinil Confort fara talc Large Med'S,Farmac Zabban SPA,Italia,"1,35"
2155,Vitamine și Minerale,Manusi nesterile vinil DERMA STRETCH fara talc Large Bericah,Bericah SPA,Italia,"1,48"
2156,Vitamine și Minerale,Manusi nesterile vinil SENSIVINIL fara talc hipoalergice Large Bericah,Bericah SPA,Italia,"1,18"
2157,Vitamine și Minerale,Manusi nesterile vinil SENSIVINIL fara talc hipoalergice Medium Bericah,Bericah SPA,Italia,"1,24"
2158,Vitamine și Minerale,Manusi sterile latex Farmalatex fara talc marimea 6 N2,Farmac Zabban SPA,Italia,"10,58"
2159,Vitamine și Minerale,Marar seminte 50g,Altai,Rusia,"29,43"
2160,Mamă și Copil,Masti protectie medicale copii N50 cu print (3 straturi),Jinhua Jingdi Meddical Supplies,China,"71,25"
2161,Vitamine și Minerale,Masti protectie medicale cu elastic N50 China,"SUZHOU HENG XIANG Import& Export Co.,LTD",China,"42,43"
2162,Vitamine și Minerale,Masti protectie medicale KN95 (5 straturi) N1,"Suzhou Acmed Import&Export Co, LTD",China,"4,55"
2163,Sănătate - Medicamente OTC,Mastodynon comp. N60,Bionorica SE,Germania,"163,44"
2164,Sănătate - Medicamente OTC,"Maxidex pic. oft., susp. 0,1% 5 ml N1","Alcon-Couvreur NV, SA",Belgia,"36,45"
2165,Sănătate - Medicamente OTC,"Maxidex pic. oft., susp. 0,1% 5 ml N1","Alcon-Couvreur NV, SA",Belgia,"36,05"
2166,Vitamine și Minerale,"MC Optic Social V0015 sph +1,5 (62-64 mm)",China,China,98
2167,Frumusețe și Igienă - Protecție Solară,Medisun SPF100 Crema 40ml ACM,ACM Laboratoires,Franta,297
2168,Frumusețe și Igienă - Protecție Solară,Medisun SPF50 Spray 200ml ACM,ACM Laboratoires,Franta,"394,99"
2169,Sănătate - Medicamente OTC,Meflocid™ comp. film. 500 mg N7,Drogsan Ilaclari Sanayi ve Ticaret A.S.,Turcia,"136,71"
2170,Mamă și Copil,Melason kids picaturi 30ml Depofarm ,Depofarm SRL,Republica Moldova,"94,5"
2171,Sănătate - Medicamente OTC,Melipramin comp. 25mg N50 (Egis),Egis Pharmaceuticals PLC,Ungaria,"45,81"
2172,Sănătate - Medicamente OTC,"Meloflex sol. inj. 10 mg/ml 1,5 ml N5","S.C. Rompharm Company S.R.L., România(PROD: S.C. Rompharm Company S.R.L., România; )",Romania,"45,53"
2173,Sănătate - Medicamente OTC,Melox® Fort comp.15 mg N10x3,"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"65,01"
2174,Sănătate - Medicamente OTC,Memantine-Richter  comp. film. 10mg  N15x2 (Gedeon),"Gedeon Richter PLC (prod.: Gedeon Richter Poland Co., Ltd, Polonia)",Ungaria,"153,26"
2175,Sănătate - Medicamente OTC,Mertenil comp.film. 10 mg N10x3 (Gedeon),Gedeon Richter PLC,Ungaria,"76,24"
2176,Sănătate - Medicamente OTC,Mertenil comp.film. 10 mg N10x3 (Gedeon),Gedeon Richter PLC,Ungaria,"76,3"
2177,Sănătate - Medicamente OTC,Mertenil comp.film. 10 mg N10x3 (Gedeon),Gedeon Richter PLC,Ungaria,"89,57"
2178,Sănătate - Medicamente OTC,Mertenil comp.film. 20 mg N10x3 (Gedeon),Gedeon Richter PLC,Ungaria,"111,9"
2179,Sănătate - Medicamente OTC,Mertenil comp.film. 20 mg N10x3 (Gedeon),Gedeon Richter PLC,Ungaria,"111,89"
2180,Sănătate - Medicamente OTC,Mertenil comp.film. 5 mg N10x3 (Gedeon),Gedeon Richter PLC,Ungaria,"67,2"
2181,Sănătate - Medicamente OTC,Mesalazol supp. 500mg N14 (FP),FarmaPrim SRL,Republica Moldova,"192,74"
2182,Sănătate - Medicamente OTC,Metiluracil supp. 500mg N10 (FP),FarmaPrim SRL,Republica Moldova,"29,47"
2183,Sănătate - Medicamente OTC,Metoclopramid sol.inj. 5 mg/ml 2ml N10 (Borisov),UPM din Borisov RUP,Belarus,"24,55"
2184,Sănătate - Medicamente OTC,Metoclopramid sol.inj. 5 mg/ml 2ml N10 (Borisov),UPM din Borisov RUP,Belarus,"22,27"
2185,Sănătate - Medicamente OTC,Metoprolol 50mg comp. N30 LPH,"LaborMed Pharma SA, SC",Romania,"28,24"
2186,Sănătate - Medicamente OTC,Metotrexat comp. 10 mg N10x3 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"145,65"
2187,Sănătate - Parafarmaceutice,Metrogyl gel 1% 30g (derm.),Unique Pharmaceutical Laboratories,India,"30,54"
2188,Vitamine și Minerale,Metromicon Forte ovule 750 mg + 200 mg N7,FarmaPrim SRL,Republica Moldova,"138,36"
2189,Sănătate - Medicamente OTC,Metromicon supp.vag. N10 (FP),FarmaPrim SRL,Republica Moldova,"58,09"
2190,Sănătate - Medicamente OTC,Metromicon-Neo supp.vag. N14 (FP),FarmaPrim SRL,Republica Moldova,"163,35"
2191,Sănătate - Medicamente OTC,Metronidazol 500mg supp.vag. N10 (FP),FarmaPrim SRL,Republica Moldova,"34,01"
2192,Vitamine și Minerale,Metroruboril A.Z.(crema anti-roseata cu acid azelaic 15 %) 30ml Isispharma,Isispharma,Franta,"425,7"
2193,Sănătate - Medicamente OTC,Mexiprim® comp. film. 125 mg N10x3,Nijfarm SAD,Rusia,"47,67"
2194,Sănătate - Medicamente OTC,Mezym® comp. film. 3500 U + 4200 U + 250 U N20,Berlin-Chemie AG (Menarini Group),Germania,"31,26"
2195,Vitamine și Minerale,Mezym® forte 25000 EXTRA caps.25000 UI + 22500 UI + 1250 UI	 N20,"Berlin-Chemie AG (Menarini Group) (prod.: Berlin-Chemie AG (Menarini Group), Germania; Farmasierra M",Germania,"164,63"
2196,Vitamine și Minerale,Micometrin ovule N6x2 (Levometrin-neo),FarmaPrim SRL,Republica Moldova,"142,88"
2197,Sănătate - Medicamente OTC,Miconazol supp.vag. 100mg N7 (FP),FarmaPrim SRL,Republica Moldova,"49,18"
2198,Vitamine și Minerale,Microclisme 4Lax adulti unidoze 9g N6 LPH,Fadem International S.r.l.,Italia,"94,39"
2199,Mamă și Copil,MIG® pentru copii susp. orala 20 mg/ml 100 ml N1,"Berlin-Chemie AG (Menarini Group) (prod.: Berlin-Chemie AG (Menarini Group), Germania; Farmasierra M",Germania,"69,34"
2200,Mamă și Copil,MIG® pentru copii susp. orala 20 mg/ml 100 ml N1,"Berlin-Chemie AG (Menarini Group) (prod.: Berlin-Chemie AG (Menarini Group), Germania; Farmasierra M",Germania,"68,3"
2201,Sănătate - Medicamente OTC,Mildronat caps. 500mg N6x10,Grindeks SA,Letonia,"307,86"
2202,Sănătate - Medicamente OTC,Mildronat caps. 500mg N6x10,Grindeks SA,Letonia,"306,1"
2203,Sănătate - Medicamente OTC,Mildronat sol.inj. 10% 5ml N10,"Grindeks SA (prod.: Hoechst-Biotika spol. s.r.o., Slovacia; Sanitas SA, Letonia)",Letonia,"251,11"
2204,Sănătate - Parafarmaceutice,Milgamma N inj. 2ml N25,"Worwag Pharma GmbH&Co.KG (prod.: Solupharm GmbH, Germania)",Germania,"328,11"
2205,Sănătate - Parafarmaceutice,Milgamma N inj. 2ml N25,"Worwag Pharma GmbH&Co.KG (prod.: Solupharm GmbH, Germania)",Germania,"324,05"
2206,Sănătate - Parafarmaceutice,Milgamma N inj. 2ml N5,"Worwag Pharma GmbH&Co.KG (prod.: Solupharm GmbH, Germania)",Germania,"83,11"
2207,Sănătate - Medicamente OTC,Milurit® comp. 300 mg N30 (Egis),"Egis Pharmaceuticals PLC (prod.: Egis Pharmaceuticals PLC, Ungaria)",Ungaria,"64,76"
2208,Sănătate - Medicamente OTC,Milurit® comp. 300 mg N30 (Egis),"Egis Pharmaceuticals PLC (prod.: Egis Pharmaceuticals PLC, Ungaria)",Ungaria,"57,61"
2209,Vitamine și Minerale,Miofolic plic N30,Amaxa Pharma Ltd,Polonia,"474,27"
2210,Sănătate - Parafarmaceutice,Mirolut® comp 200mcg N4 (Misoprost),Nijfarm SAD,Rusia,"87,14"
2211,Vitamine și Minerale,Mixovul ovule 750mg/200mg/100mg N7,Bilim Ilac Sanayi Ve Ticaret A.?.,Turcia,"137,13"
2212,Sănătate - Medicamente OTC,Monosan comp. 40mg N10x3,PRO.MED.CS Praha a.s.,Cehia,"73,9"
2213,Sănătate - Medicamente OTC,Monosan comp. 40mg N10x3,PRO.MED.CS Praha a.s.,Cehia,"71,35"
2214,Sănătate - Medicamente OTC,Monural gran./sol.orala 3g N1,Zambon  S.P.A.,Elvetia,"77,78"
2215,Vitamine și Minerale,Motoprid comp.filmate 50mg N10x2 KVZ,Uzina de vitamine din Kiev SAD,Ucraina,"99,32"
2216,Sănătate - Medicamente OTC,Movalis comp. 15mg N20,"Boehringer Ingelheim International GmbH (prod.: Boehringer Ingelheim Pharma GmbH&Co.KG, Germania)",Germania,"61,61"
2217,Sănătate - Parafarmaceutice,"Moxicin pic. oft.  0,5% 5 ml",Liqvor SAI,Armenia,"76,85"
2218,Sănătate - Medicamente OTC,Moxogamma 0.2mg comp. N30,"Worwag Pharma GmbH&Co.KG (prod.: Artesan Pharma GmbH&Co.KG, Germania; Chanelle Medical Ltd, Irlanda;",Germania,"66,76"
2219,Vitamine și Minerale,Mucalti C comp. N10 (Althaea+Vit.C+Zn+Ghimbir) Biodeal,Biodeal Pharmaceuticals PLT.LTD,India,"16,9"
2220,Vitamine și Minerale,Multivitamine+Minerale A-Z cu Luteina comp. eferv. N15 Doppelherz,Queisser Pharma GmbH Co.&KG,Germania,179
2221,Vitamine și Minerale,Multivitamine+Minerale A-Z plus Q10&Luteina comp. N60 EuRho Vital,Euro-OTC,Germania,"367,99"
2222,Sănătate - Medicamente OTC,Muscomed caps. 4mg N10x2,"World Medicine Limited (prod.: Biofarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"68,89"
2223,Sănătate - Medicamente OTC,Muscomed sol. inj. 4mg/2ml  2ml N6,"World Medicine Limited (prod.: Biofarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"67,21"
2224,Sănătate - Parafarmaceutice,Mustar praf 200g,Stalagmita,Republica Moldova,"20,31"
2225,Sănătate - Medicamente OTC,Mycosyst caps. 100mg N28 (Gedeon),Gedeon Richter SA,Ungaria,"1339,67"
2226,Sănătate - Medicamente OTC,Mycosyst caps. 100mg N28 (Gedeon),Gedeon Richter SA,Ungaria,"1412,75"
2227,Sănătate - Medicamente OTC,Mycosyst caps. 150mg N1 (Gedeon),Gedeon Richter SA,Ungaria,"80,19"
2228,Sănătate - Medicamente OTC,Mycosyst caps. 150mg N2 (Gedeon),Gedeon Richter SA,Ungaria,"153,09"
2229,Sănătate - Medicamente OTC,Mycosyst caps. 150mg N2 (Gedeon),Gedeon Richter SA,Ungaria,"158,08"
2230,Sănătate - Medicamente OTC,Mycosyst caps. 50mg N7 (Gedeon),Gedeon Richter SA,Ungaria,"184,35"
2231,Sănătate - Medicamente OTC,Mydocalm comp. film.150mg N30 (Gedeon),Gedeon Richter PLC,Ungaria,"71,17"
2232,Vitamine și Minerale,Naftifina spray cut.solutie 10 mg/ml 15 ml N1 Flumed,Flumed-Farm SRL,Republica Moldova,"95,25"
2233,Vitamine și Minerale,Naftizina pic. nazale 0.05% 10ml cu picuratoare (Farmak),Farmak SA,Ucraina,"14,96"
2234,Vitamine și Minerale,Naftizina pic. nazale 0.1% 10ml  cu picuratoare (Farmak),Farmak SA,Ucraina,"16,86"
2235,Vitamine și Minerale,Naftizina pic. nazale 0.1% 10ml  cu picuratoare (Farmak),Farmak SA,Ucraina,"16,15"
2236,Sănătate - Parafarmaceutice,"Natriu clorid sol. perf. 0,9% 500ml (China)FP","Anhui Double-Crane Pharmaceutical Co., Ltd",China,"16,99"
2237,Sănătate - Parafarmaceutice,Natriu clorid sol. perf. 0.9% 100ml (China) (flacon PP),"Anhui Double-Crane Pharmaceutical Co., Ltd",China,"9,88"
2238,Sănătate - Parafarmaceutice,Natriu clorid sol. perf. 0.9% 250ml (China),"Sichuan Kelun Pharmaceutical Co., Ltd.",China,"11,16"
2239,Sănătate - Parafarmaceutice,Natriu clorid sol. perf. 0.9% 400ml (Iuria),Iuria-Farm SRL,Ucraina,"14,87"
2240,Sănătate - Medicamente OTC,Natriu thiosulfat sol. inj. 30% 5 ml N10 (Darnita),"Darnita SAI, Firma farmaceutica",Ucraina,"42,73"
2241,Vitamine și Minerale,Naxen S comp.cu eliberare modif. 500 mg/20 mg N30,"Chong Kun Dang Pharmaceutical Corporation (CKD), Coreea",Coreea,"237,17"
2242,Sănătate - Parafarmaceutice,"Nazoferon pic. naz., sol. 100000 UI/ml 5 ml N1",Farmak SAP,Ucraina,"98,96"
2243,Sănătate - Parafarmaceutice,"Nazoferon spray naz., sol. 100000 UI/ml 5 ml N1",Farmak SAP,Ucraina,"114,09"
2244,Mamă și Copil,NBL Osteo Formula comp. N30,"Vitaquest International LLC, USA",USA,"182,12"
2245,Vitamine și Minerale,Nebufluzon® susp. de inhalat prin nebulizator 1 mg/ml  2 ml N10,Iuria-Farm SRL,Ucraina,"207,61"
2246,Sănătate - Parafarmaceutice,Nebulizer Rossmax NL100 compact si eficient,Rossmax International LTD,Elvetia,670
2247,Mamă și Copil,Nebulizer Rossmax Portativ NH60 cu masca copii si adulti,Rossmax International LTD,Elvetia,1275
2248,Sănătate - Medicamente OTC,Neiromidin comp. 20mg N50,"UCF Olainfarm SA, Olaine",Letonia,"272,98"
2249,Vitamine și Minerale,"Neladex-NS spray nazal, soluţie 15ml N1","World Medicine Limited (prod.: Biofarma Ilac Sanayii ve Ticaret AS, Turcia)",Georgia,122
2250,Frumusețe și Igienă - Protecție Solară,Neotone Prevent SPF50 Mineral Tinted (cu fond ten) 30ml Isispharma,Isispharma,Franta,"388,99"
2251,Frumusețe și Igienă - Protecție Solară,Neotone Radiance SPF 50 30ml Isispharma,Isispharma,Franta,"478,99"
2252,Sănătate - Medicamente OTC,Neovitam comp. film. N10x3 KVZ,Uzina de vitamine din Kiev SAD,Ucraina,"82,19"
2253,Vitamine și Minerale,Nervocalmin Relaxare caps. moi N20,"Biofarm SA, SC",Romania,"142,32"
2254,Sănătate - Medicamente OTC,Nervocalmin somn usor cu Valeriana comp. N10x2,"Biofarm SA, SC",Romania,"145,97"
2255,Sănătate - Medicamente OTC,Neurolecit caps. N60 Vitapharm,"Vitapharm-Com SRL, IM",Republica Moldova,216
2256,Sănătate - Parafarmaceutice,Neuromin pic. 30ml,Bion Corporation,Marea Britanie,"211,25"
2257,Sănătate - Medicamente OTC,Neurotican caps. N10x3 Vitapharm,"Vitapharm-Com SRL, IM",Republica Moldova,"232,5"
2258,Sănătate - Medicamente OTC,Neuroxon sol. inj.250 mg/ml 2 ml N10,Swiss Parenterals PVT.LTD.,India,"316,99"
2259,Sănătate - Medicamente OTC,Neuroxon sol. inj.250 mg/ml 4 ml N10,Swiss Parenterals PVT.LTD.,India,"442,9"
2260,Sănătate - Medicamente OTC,Neyrostabil caps. N30,Honor Pharmaceutecal Industry Limited Company,Turcia,"238,15"
2261,Sănătate - Medicamente OTC,Neyrostabil caps. N30,Honor Pharmaceutecal Industry Limited Company,Turcia,"166,84"
2262,Sănătate - Medicamente OTC,Neyrostabil caps. N30,Honor Pharmaceutecal Industry Limited Company,Turcia,"167,47"
2263,Sănătate - Medicamente OTC,Nicergolina LPH comp. film.30mg N30,"LaborMed Pharma SA, SC",Romania,"104,31"
2264,Sănătate - Parafarmaceutice,Nidoflor crema 15 g(Antibiotice),"Antibiotice SA, SC",Romania,"45,31"
2265,Sănătate - Parafarmaceutice,Nidoflor crema 15 g(Antibiotice),"Antibiotice SA, SC",Romania,"45,12"
2266,Sănătate - Medicamente OTC,Nigepan supp. 50 mg + 1000 UA N10 (Nijfarm),Nijfarm SAD,Rusia,"71,33"
2267,Sănătate - Medicamente OTC,Niperten comp. film.5 mg N10x3,"KRKA d.d., Novo mesto",Slovenia,"27,97"
2268,Sănătate - Medicamente OTC,Niperten comp. film.5 mg N10x3,"KRKA d.d., Novo mesto",Slovenia,"27,82"
2269,Sănătate - Medicamente OTC,Nistatina comp. film. 500000 UI N10x2(Antibiotice),"Antibiotice SA, SC",Romania,"59,79"
